priority,score,business_name,industry,location,phone,address,rating,reviews,photos,website,reasons,email
HIGH,80,Movement Gym,gym,"Sandpoint, ID",(208) 263-9999,"103 S 3rd Ave, Sandpoint, ID 83864, USA",4.5,8,0,https://www.movementgym.com/,Only 0 photos (needs 20+); Only 8 reviews (low social proof),
HIGH,60,The Shed,gym,"Sandpoint, ID",,"1223 Michigan St E, Sandpoint, ID 83864, USA",5,1,1,http://www.theshedatsandpoint.com/,Only 1 photos (needs 20+); Only 1 reviews (low social proof),
MEDIUM,50,Unique Fitness (UFIT),gym,"Sandpoint, ID",(208) 627-6079,"1007 W Superior, Sandpoint, ID 83864, USA",4.8,25,10,http://www.uniquefitnesssandpoint.com/,Only 25 reviews (low social proof); Established business (has reviews),uniquefitnesssandpoint@gmail.com
MEDIUM,40,Natural Fitness - Ponderay,gym,"Sandpoint, ID",(208) 263-0676,"400 Schweitzer Plaza Dr #6, Ponderay, ID 83852, USA",4.7,81,5,http://www.naturalfitnessgym.com/,Only 5 photos (needs 20+); Good rating (cares about reputation),
LOW,30,Missi Balison Fitness,gym,"Sandpoint, ID",(208) 290-2081,"1250 Gooby Rd, Sandpoint, ID 83864, USA",5,37,10,http://www.missibalisonfitness.com/,Established business (has reviews); Good rating (cares about reputation),missi@missibalisonfitness.com
LOW,30,BarreX Fitness and Dance,gym,"Sandpoint, ID",(208) 946-7861,"229 Pine St, Sandpoint, ID 83864, USA",5,1,10,https://barrexfitness.com/,Only 1 reviews (low social proof); Good rating (cares about reputation),hi@typemade.mx
HIGH,80,Selle Valley Construction,contractor,"Sandpoint, ID",(208) 263-1808,"667 Triangle Dr, Ponderay, ID 83852, USA",5,7,9,http://www.sellevalley.com/,Only 9 photos (needs 20+); Only 7 reviews (low social proof),
HIGH,80,Dana Construction Company LLC,contractor,"Sandpoint, ID",(208) 691-2042,"217 Cedar St, Sandpoint, ID 83864, USA",4.2,5,0,http://www.danaconstructionco.com/,Only 0 photos (needs 20+); Only 5 reviews (low social proof),john@danaconst.com
HIGH,65,"AJ Construction and Development, LLC",contractor,"Sandpoint, ID",(208) 290-5788,"8459 Sunnyside Rd, Sandpoint, ID 83864, USA",4.8,18,10,http://www.ajdevelopmentllc.com/,Only 18 reviews (low social proof); Missing business hours,mandy@ajdevelopmentllc.com
HIGH,60,John Cloud Construction,contractor,"Sandpoint, ID",(208) 265-5406,"658 Gold Creek Rd, Sandpoint, ID 83864, USA",5,4,2,http://customhomesandpoint.com/,Only 2 photos (needs 20+); Only 4 reviews (low social proof),Info@CustomHomeSandpoint.com
HIGH,60,JKC Construction,contractor,"Sandpoint, ID",(208) 946-8588,"414 Church St Suite 112, Sandpoint, ID 83864, USA",5,4,2,https://www.jkcconstruction.net/,Only 2 photos (needs 20+); Only 4 reviews (low social proof),
HIGH,60,Panhandle Contractors LLC,contractor,"Sandpoint, ID",(208) 946-1474,"1596 E Shingle Mill Rd, Sandpoint, ID 83864, USA",5,2,1,https://www.idahopanhandlecontracting.com/,Only 1 photos (needs 20+); Only 2 reviews (low social proof),
MEDIUM,50,Sandpoint Builders Inc.,contractor,"Sandpoint, ID",(208) 263-7315,"276 Jacobson Rd, Sandpoint, ID 83864, USA",4.9,14,10,http://www.sandpointbuilders.com/,Only 14 reviews (low social proof); Established business (has reviews),anapbm@gmail.com
MEDIUM,50,Ramey Construction Company,contractor,"Sandpoint, ID",(208) 597-7071,"509 Fifth Ave suite g, Sandpoint, ID 83864, USA",4.2,5,10,https://www.rameyco.com/sandpoint-idaho,Only 5 reviews (low social proof); Established business (has reviews),info@rameyco.com
MEDIUM,45,R.W. Bianco Construction,contractor,"Sandpoint, ID",(208) 290-2268,"9060 Colburn Culver Rd, Sandpoint, ID 83864, USA",5,1,10,http://www.rwbiancoconstruction.com/,Only 1 reviews (low social proof); Missing business hours,bob@rwbiancoconstruction.com
