priority,score,business_name,industry,location,phone,address,rating,reviews,photos,website,reasons
HIGH,100,Morning Grind Cafe,coffee shop,"Sandpoint, ID",(555) 966-3443,"3581 Main St, Sandpoint, ID",3.6,28,4,,Only 4 photos (needs 20+); Only 28 reviews (low social proof)
HIGH,95,Morning Grind Coffee House,coffee shop,"Sandpoint, ID",(555) 577-3260,"6126 Main St, Sandpoint, ID",4.7,16,5,,Only 5 photos (needs 20+); Only 16 reviews (low social proof)
HIGH,90,Bean There Shop,coffee shop,"Sandpoint, ID",(555) 908-7743,"4005 Main St, Sandpoint, ID",4.1,32,2,,Only 2 photos (needs 20+); No website listed
HIGH,85,Morning Grind Bar,coffee shop,"Sandpoint, ID",(555) 217-2332,"4255 Main St, Sandpoint, ID",3.8,22,4,,Only 4 photos (needs 20+); Only 22 reviews (low social proof)
HIGH,85,Joe's Coffee Coffee House,coffee shop,"Sandpoint, ID",(555) 783-2153,"9443 Main St, Sandpoint, ID",3.9,15,3,,Only 3 photos (needs 20+); Only 15 reviews (low social proof)
HIGH,80,Espresso Express Shop,coffee shop,"Sandpoint, ID",(555) 470-3577,"2030 Main St, Sandpoint, ID",4.6,20,6,https://www.espressoexpressshop.com,Only 6 photos (needs 20+); Only 20 reviews (low social proof)
HIGH,80,Brew Haven Coffee House,coffee shop,"Sandpoint, ID",(555) 387-4650,"6067 Main St, Sandpoint, ID",4.8,10,6,https://www.brewhavencoffeehouse.com,Only 6 photos (needs 20+); Only 10 reviews (low social proof)
HIGH,75,Bean There Bar,coffee shop,"Sandpoint, ID",(555) 949-2424,"9084 Main St, Sandpoint, ID",4.6,40,6,https://www.beantherebar.com,Only 6 photos (needs 20+); Missing business hours
HIGH,70,Espresso Express Cafe,coffee shop,"Sandpoint, ID",(555) 266-7825,"5642 Main St, Sandpoint, ID",3.8,19,7,https://www.espressoexpresscafe.com,Only 7 photos (needs 20+); Only 19 reviews (low social proof)
HIGH,70,Morning Grind Bar,coffee shop,"Sandpoint, ID",(555) 102-5583,"8924 Main St, Sandpoint, ID",3.7,29,5,https://www.morninggrindbar.com,Only 5 photos (needs 20+); Only 29 reviews (low social proof)
HIGH,65,Bean There Cafe,coffee shop,"Sandpoint, ID",(555) 670-3911,"7301 Main St, Sandpoint, ID",3.7,42,3,,Only 3 photos (needs 20+); No website listed
HIGH,60,Joe's Coffee Coffee House,coffee shop,"Sandpoint, ID",(555) 192-7092,"5217 Main St, Sandpoint, ID",4.4,33,5,https://www.joe'scoffeecoffeehouse.com,Only 5 photos (needs 20+); Established business (has reviews)
HIGH,60,Morning Grind Shop,coffee shop,"Sandpoint, ID",(555) 279-3255,"632 Main St, Sandpoint, ID",4.4,30,4,https://www.morninggrindshop.com,Only 4 photos (needs 20+); Established business (has reviews)
MEDIUM,50,Brew Haven Shop,coffee shop,"Sandpoint, ID",(555) 341-1361,"4901 Main St, Sandpoint, ID",3.6,31,4,https://www.brewhavenshop.com,Only 4 photos (needs 20+); Established business (has reviews)
